,train_size,train_set_type,accuracy,loss
133,80,random by cluster,0.529,1.3232127391815185
134,80,random by cluster,0.5797,1.1952682697296142
135,80,random by cluster,0.5448,1.3197810688018798
136,80,random by cluster,0.5838,1.2230197343826295
137,80,random by cluster,0.5761,1.199763292312622
138,80,random by cluster,0.5796,1.2485908685684204
139,80,random by cluster,0.5377,1.300193768119812
140,60,random by cluster,0.5539,1.264157088470459
141,60,random by cluster,0.4978,1.3863870634078979
142,60,random by cluster,0.5015,1.426288893508911
143,60,random by cluster,0.5535,1.2538283323287964
144,60,random by cluster,0.4762,1.4681911783218384
145,60,random by cluster,0.4666,1.5071844520568847
146,60,random by cluster,0.5036,1.413858113861084
147,60,random by cluster,0.5218,1.4267663087844848
148,60,random by cluster,0.4644,1.4635606901168823
149,60,random by cluster,0.5306,1.3102329339981078
150,40,random by cluster,0.4508,1.590588482284546
151,40,random by cluster,0.4548,1.5437326177597046
152,40,random by cluster,0.4833,1.5858695713043214
153,40,random by cluster,0.5074,1.4819255418777466
154,40,random by cluster,0.4328,1.6065967012405395
155,40,random by cluster,0.4385,1.5922564178466796
156,40,random by cluster,0.4169,1.664350094985962
157,40,random by cluster,0.3408,1.9286627536773682
158,40,random by cluster,0.4388,1.5403816812515259
159,40,random by cluster,0.4939,1.4738662622451781
160,20,random by cluster,0.3665,1.8145114540100098
161,20,random by cluster,0.3033,1.9253875082015992
162,20,random by cluster,0.3151,1.9128161270141602
163,20,random by cluster,0.3228,1.9435589424133302
164,20,random by cluster,0.3886,1.7071363828659059
165,20,random by cluster,0.3423,1.8734841274261476
166,20,random by cluster,0.3504,1.8700162155151367
167,20,random by cluster,0.3598,1.843467027282715
168,20,random by cluster,0.364,1.8066308893203735
169,20,random by cluster,0.3721,1.7779141117095947
170,10,random by cluster,0.3207,1.9683542057037353
171,10,random by cluster,0.2314,2.1096802658081053
172,10,random by cluster,0.253,2.055951504898071
173,10,random by cluster,0.2331,2.044461360168457
174,10,random by cluster,0.3056,1.954930643081665
175,10,random by cluster,0.2581,2.0158633323669433
176,10,random by cluster,0.3127,2.015088189315796
177,10,random by cluster,0.2838,1.9918981231689452
178,10,random by cluster,0.2514,2.1354440196990967
179,10,random by cluster,0.2716,1.987896430206299
180,500,diverse by cluster,0.7,0.8577785308837891
181,500,diverse by cluster,0.6788,0.8936442692756653
182,500,diverse by cluster,0.6953,0.8815857191085815
183,500,diverse by cluster,0.673,0.9185972989082336
184,500,diverse by cluster,0.7031,0.8517128163337707
185,500,diverse by cluster,0.7083,0.840606201839447
186,500,diverse by cluster,0.6241,1.038969598388672
187,500,diverse by cluster,0.7219,0.8210105852127075
188,500,diverse by cluster,0.7059,0.8469289753913879
189,500,diverse by cluster,0.7282,0.7975723152160644
190,250,diverse by cluster,0.579,1.238774896812439
191,250,diverse by cluster,0.6489,1.066667977333069
192,250,diverse by cluster,0.6442,1.0831881498336793
193,250,diverse by cluster,0.6015,1.158523851966858
194,250,diverse by cluster,0.6356,1.0808481165885926
195,250,diverse by cluster,0.6642,1.000769130897522
196,250,diverse by cluster,0.6597,1.040953563785553
197,250,diverse by cluster,0.6308,1.0741166385650636
198,250,diverse by cluster,0.6426,1.0714687664031983
199,250,diverse by cluster,0.6229,1.0793908870697022
200,200,diverse by cluster,0.5929,1.249518756866455
201,200,diverse by cluster,0.611,1.0812336177825927
202,200,diverse by cluster,0.6376,1.0258545117378235
203,200,diverse by cluster,0.6328,1.043460612487793
204,200,diverse by cluster,0.6175,1.0830921409606933
205,200,diverse by cluster,0.5871,1.1671942819595338
206,200,diverse by cluster,0.6408,1.0752224670410155
207,200,diverse by cluster,0.577,1.2092604787826537
208,200,diverse by cluster,0.6243,1.077112085723877
209,200,diverse by cluster,0.5922,1.142615333557129
210,100,diverse by cluster,0.4556,1.523427794456482
211,100,diverse by cluster,0.5215,1.3806577325820923
212,100,diverse by cluster,0.5032,1.4187978940963746
213,100,diverse by cluster,0.5058,1.4003980058670045
214,100,diverse by cluster,0.5146,1.3954614421844482
215,100,diverse by cluster,0.3762,1.691192974472046
216,100,diverse by cluster,0.4875,1.4577310762405395
217,100,diverse by cluster,0.4801,1.5611953908920289
218,100,diverse by cluster,0.495,1.4194803232192994
219,100,diverse by cluster,0.496,1.4085669981002809
220,80,diverse by cluster,0.4408,1.59795837059021
221,80,diverse by cluster,0.4833,1.4350994194030762
222,80,diverse by cluster,0.4385,1.5893968023300171
223,80,diverse by cluster,0.4613,1.5747613502502442
224,80,diverse by cluster,0.4237,1.6386238731384277
225,80,diverse by cluster,0.515,1.4684268144607544
226,80,diverse by cluster,0.452,1.5708102184295654
227,80,diverse by cluster,0.4388,1.5135806043624878
228,80,diverse by cluster,0.4419,1.6863613412857055
229,80,diverse by cluster,0.4647,1.501417552947998
230,60,diverse by cluster,0.3992,1.7121082061767579
231,60,diverse by cluster,0.4655,1.5304044769287108
232,60,diverse by cluster,0.3059,1.9007703605651856
233,60,diverse by cluster,0.4414,1.61799577293396
234,60,diverse by cluster,0.4655,1.5448149154663087
235,60,diverse by cluster,0.4381,1.6193336742401123
236,60,diverse by cluster,0.4322,1.636737850189209
237,60,diverse by cluster,0.3766,1.718765382385254
238,60,diverse by cluster,0.3306,1.8332543712615967
239,60,diverse by cluster,0.4459,1.6394070831298828
240,40,diverse by cluster,0.3284,1.8816876834869385
241,40,diverse by cluster,0.4121,1.853208256149292
242,40,diverse by cluster,0.2815,2.0774002365112305
243,40,diverse by cluster,0.3665,1.939416637802124
244,40,diverse by cluster,0.3437,1.769013531112671
245,40,diverse by cluster,0.3112,1.8885443019866943
246,40,diverse by cluster,0.3666,1.7617974166870116
247,40,diverse by cluster,0.2796,2.029790705108643
248,40,diverse by cluster,0.2949,1.9326737277984618
249,40,diverse by cluster,0.3451,1.8190836452484132
250,20,diverse by cluster,0.3119,1.986083399963379
251,20,diverse by cluster,0.3006,1.9654981853485107
252,20,diverse by cluster,0.2794,2.053272438430786
253,20,diverse by cluster,0.3193,1.9922752143859863
254,20,diverse by cluster,0.2661,2.038221215057373
255,20,diverse by cluster,0.3113,1.9897007350921632
256,20,diverse by cluster,0.2739,2.02423115234375
257,20,diverse by cluster,0.2877,2.04107015914917
258,20,diverse by cluster,0.2987,1.9789295597076415
259,20,diverse by cluster,0.2695,2.0531830909729005
260,10,diverse by cluster,0.2084,2.1444477939605715
261,10,diverse by cluster,0.1786,2.1649956535339356
262,10,diverse by cluster,0.1013,2.307089666366577
263,10,diverse by cluster,0.1819,2.169961916351318
264,10,diverse by cluster,0.2166,2.1685220195770265
265,10,diverse by cluster,0.2824,2.062551493835449
266,10,diverse by cluster,0.2141,2.171697723007202
267,10,diverse by cluster,0.2485,2.1251553764343263
268,10,diverse by cluster,0.1064,2.305463352203369
269,10,diverse by cluster,0.1111,2.3063869400024415
