,train_size,train_set_type,accuracy,loss
95,80,random by cluster,0.5868,1.5891875539779663
96,80,random by cluster,0.5939,1.4223427192687987
97,80,random by cluster,0.5427,1.4116533561706543
98,80,random by cluster,0.5651,1.4329094045639037
99,80,random by cluster,0.5738,1.585918558692932
100,60,random by cluster,0.5484,1.9428929630279541
101,60,random by cluster,0.4708,1.6638517450332642
102,60,random by cluster,0.5683,1.5066900106430055
103,60,random by cluster,0.5559,1.6216830696105957
104,60,random by cluster,0.5007,1.5933784481048583
105,60,random by cluster,0.5509,1.6448223041534424
106,60,random by cluster,0.5248,1.5455466222763061
107,60,random by cluster,0.5076,1.5312846151351929
108,60,random by cluster,0.5124,2.129261176109314
109,60,random by cluster,0.5094,1.593407967376709
110,40,random by cluster,0.526,1.7272767555236817
111,40,random by cluster,0.5248,1.66332799243927
112,40,random by cluster,0.4187,2.3020377605438234
113,40,random by cluster,0.4552,1.783922681617737
114,40,random by cluster,0.5319,1.6810654920578003
115,40,random by cluster,0.5143,1.9826911308288575
116,40,random by cluster,0.4294,1.8440965114593506
117,40,random by cluster,0.4924,1.745377628517151
118,40,random by cluster,0.5093,1.7885394123077392
119,40,random by cluster,0.52,1.500642177772522
120,20,random by cluster,0.2672,2.2101194900512695
121,20,random by cluster,0.2677,2.2489182865142823
122,20,random by cluster,0.3043,2.0184364875793457
123,20,random by cluster,0.3128,2.2150602809906004
124,20,random by cluster,0.3125,2.0280637126922607
125,20,random by cluster,0.3228,2.171271686935425
126,20,random by cluster,0.356,1.935461153793335
127,20,random by cluster,0.2631,2.1358353870391844
128,20,random by cluster,0.294,2.006735469818115
129,20,random by cluster,0.4126,2.1617329132080076
130,10,random by cluster,0.2202,2.8783979946136475
131,10,random by cluster,0.1422,2.3413937892913816
132,10,random by cluster,0.2585,2.214014638900757
133,10,random by cluster,0.1928,2.7767203971862795
134,10,random by cluster,0.2665,2.3019507415771483
135,10,random by cluster,0.1762,2.2424076202392578
136,10,random by cluster,0.2967,2.16242636756897
137,10,random by cluster,0.2723,2.2319395652770995
138,10,random by cluster,0.2019,3.517017995452881
139,10,random by cluster,0.2453,2.240875409698486
140,150,diverse by cluster,0.6104,1.325115133857727
141,150,diverse by cluster,0.6131,1.319369335746765
142,150,diverse by cluster,0.6134,1.1888664655685426
143,150,diverse by cluster,0.4944,1.4912374326705933
144,150,diverse by cluster,0.5656,1.8550001876831055
145,150,diverse by cluster,0.6147,1.228065069770813
146,150,diverse by cluster,0.5562,1.658253946495056
147,150,diverse by cluster,0.6087,1.2575601169586181
