,train_size,train_set_type,accuracy,loss
179,500,random by cluster,0.7183,0.9623318430900574
180,10,diverse by cluster,0.2269,2.3351995441436766
181,10,diverse by cluster,0.2142,2.450553160858154
182,10,diverse by cluster,0.1712,2.710953524017334
183,10,diverse by cluster,0.2221,2.2153476917266848
184,10,diverse by cluster,0.2182,2.18653510017395
185,10,diverse by cluster,0.1899,2.6082455406188965
186,10,diverse by cluster,0.2295,2.416049355697632
187,10,diverse by cluster,0.227,2.4341214628219605
188,10,diverse by cluster,0.1757,3.3511156707763674
189,10,diverse by cluster,0.2458,2.1931481426239015
190,20,diverse by cluster,0.2333,2.76118450050354
191,20,diverse by cluster,0.2945,2.2317501903533934
192,20,diverse by cluster,0.2782,2.134224324417114
193,20,diverse by cluster,0.2212,2.161289112472534
194,20,diverse by cluster,0.2488,2.1515680614471435
195,20,diverse by cluster,0.2839,2.232034829711914
196,20,diverse by cluster,0.2817,2.0671973037719726
197,20,diverse by cluster,0.2369,2.3004258720397948
198,20,diverse by cluster,0.101,2.3054635612487795
199,20,diverse by cluster,0.3013,2.0936504093170165
200,40,diverse by cluster,0.3346,2.2955273586273193
201,40,diverse by cluster,0.3261,2.5064866504669188
202,40,diverse by cluster,0.3188,2.0825096645355226
203,40,diverse by cluster,0.4073,1.762984747505188
204,40,diverse by cluster,0.27,2.08608978843689
205,40,diverse by cluster,0.4023,1.7217753112792968
206,40,diverse by cluster,0.3757,1.8129789264678955
207,40,diverse by cluster,0.3552,1.8814533878326416
208,40,diverse by cluster,0.397,1.9741595733642578
209,40,diverse by cluster,0.3796,1.9095939628601075
210,60,diverse by cluster,0.4413,1.6783509407043458
211,60,diverse by cluster,0.4114,1.8546739784240722
212,60,diverse by cluster,0.4053,1.7015515998840332
213,60,diverse by cluster,0.4975,1.5240601873397828
214,60,diverse by cluster,0.3781,1.8523440147399903
215,60,diverse by cluster,0.4114,1.8869823131561279
216,60,diverse by cluster,0.4608,1.7898542987823487
217,60,diverse by cluster,0.4663,1.655119034576416
218,60,diverse by cluster,0.3362,2.0464291202545164
219,60,diverse by cluster,0.4363,1.7497517965316773
220,80,diverse by cluster,0.5016,1.458813405418396
221,80,diverse by cluster,0.4978,1.3990965492248535
222,80,diverse by cluster,0.4954,1.6395422513961793
223,80,diverse by cluster,0.4831,1.7551672693252562
224,80,diverse by cluster,0.3602,1.771448652458191
225,80,diverse by cluster,0.5232,1.435355453491211
226,80,diverse by cluster,0.5053,1.507023588180542
227,80,diverse by cluster,0.4847,1.4527580364227295
228,80,diverse by cluster,0.4688,1.5770483123779298
229,80,diverse by cluster,0.4661,1.531547024536133
230,100,diverse by cluster,0.4493,1.5756243724822998
231,100,diverse by cluster,0.5192,1.6386829822540283
232,100,diverse by cluster,0.4737,1.552717341041565
233,100,diverse by cluster,0.5455,1.366570045852661
234,100,diverse by cluster,0.4012,1.7375134876251221
235,100,diverse by cluster,0.3788,1.8806804424285888
236,100,diverse by cluster,0.5103,1.4338350114822387
237,100,diverse by cluster,0.4747,1.6133958003997804
238,100,diverse by cluster,0.4737,1.5499733264923097
239,100,diverse by cluster,0.5267,1.5375034320831298
240,200,diverse by cluster,0.6378,1.1301317499160766
241,200,diverse by cluster,0.6185,1.1335159118652345
242,200,diverse by cluster,0.5995,1.197602573776245
243,200,diverse by cluster,0.6224,1.1786833032608033
244,200,diverse by cluster,0.6219,1.141610945701599
245,200,diverse by cluster,0.5312,1.3969941675186157
246,200,diverse by cluster,0.5495,1.3040267906188965
247,200,diverse by cluster,0.5809,1.223095108795166
248,200,diverse by cluster,0.5609,1.3834269411087037
249,200,diverse by cluster,0.6099,1.2717047189712525
250,250,diverse by cluster,0.565,1.2571648544311524
251,250,diverse by cluster,0.6126,1.521384414958954
252,250,diverse by cluster,0.6183,1.1042884057998656
253,250,diverse by cluster,0.6325,1.1243860961914063
254,250,diverse by cluster,0.6463,1.2071290376663208
255,250,diverse by cluster,0.5943,1.4007913864135741
256,250,diverse by cluster,0.6157,1.0971749174118042
257,250,diverse by cluster,0.5585,1.3210283420562745
258,250,diverse by cluster,0.5698,1.3138457838058473
259,250,diverse by cluster,0.6075,1.2256936353683472
260,500,diverse by cluster,0.7242,0.8606027167320252
261,500,diverse by cluster,0.6943,0.9518303719520569
262,500,diverse by cluster,0.7162,0.8885408175468444
263,500,diverse by cluster,0.7238,0.8460125621795654
264,500,diverse by cluster,0.7003,0.9659144104003906
265,500,diverse by cluster,0.6987,0.994889668560028
266,500,diverse by cluster,0.6831,0.962138994884491
267,500,diverse by cluster,0.6702,1.0036123328208923
268,500,diverse by cluster,0.6859,0.9699740584373474
269,500,diverse by cluster,0.7219,0.8859974481582642
