,train_size,train_set_type,accuracy,loss
184,20,random by cluster,0.3891,1.8816215507507323
185,20,random by cluster,0.3743,1.9064433822631837
186,20,random by cluster,0.3296,1.9327946872711181
187,20,random by cluster,0.3275,1.9243528930664062
188,20,random by cluster,0.3195,1.9289734004974366
189,20,random by cluster,0.3706,1.7692178747177123
190,10,random by cluster,0.2638,1.9817505401611328
191,10,random by cluster,0.3048,1.9926078372955323
192,10,random by cluster,0.3172,1.976189306640625
193,10,random by cluster,0.3259,1.9043060182571412
194,10,random by cluster,0.2486,2.0321128772735597
195,10,random by cluster,0.2865,2.010528310585022
196,10,random by cluster,0.2201,2.0368354022979736
197,10,random by cluster,0.3027,2.0333281978607176
198,10,random by cluster,0.3195,1.943103217315674
199,10,random by cluster,0.3213,1.974672678756714
200,500,diverse by cluster,0.7335,0.8844999844551087
201,500,diverse by cluster,0.7373,0.8834391953468322
202,500,diverse by cluster,0.7417,0.7900061543941498
203,500,diverse by cluster,0.7458,0.8333602838993073
204,500,diverse by cluster,0.7372,0.7891460438728333
205,500,diverse by cluster,0.7461,0.8569834381103516
206,500,diverse by cluster,0.7454,0.8039333928108215
207,500,diverse by cluster,0.7168,0.8322119717597961
208,500,diverse by cluster,0.7317,0.7899526661872863
209,500,diverse by cluster,0.7382,0.8375282711029053
210,250,diverse by cluster,0.669,0.9707726084709167
211,250,diverse by cluster,0.6303,1.0408356111526489
212,250,diverse by cluster,0.6625,0.9738692489624023
213,250,diverse by cluster,0.6484,1.0386232120513916
214,250,diverse by cluster,0.6538,1.0134711841583253
215,250,diverse by cluster,0.5549,1.25840096244812
216,250,diverse by cluster,0.625,1.0896208070755005
217,250,diverse by cluster,0.6782,0.9399246981620789
218,250,diverse by cluster,0.6296,1.0831813451766967
219,250,diverse by cluster,0.6096,1.1190503867149353
220,200,diverse by cluster,0.5327,1.2730980890274048
221,200,diverse by cluster,0.6262,1.0697515834808349
222,200,diverse by cluster,0.6659,1.0203298577308655
223,200,diverse by cluster,0.6584,1.068503645515442
224,200,diverse by cluster,0.6326,1.0854799966812134
225,200,diverse by cluster,0.6618,1.0158635312080384
226,200,diverse by cluster,0.6669,1.0039265577316283
227,200,diverse by cluster,0.6701,0.9859411659240722
228,200,diverse by cluster,0.6235,1.0611775709152222
229,200,diverse by cluster,0.5927,1.132182214164734
230,150,diverse by cluster,0.628,1.072070959854126
231,150,diverse by cluster,0.6238,1.0785025342941283
232,150,diverse by cluster,0.6016,1.1239864234924317
233,150,diverse by cluster,0.6189,1.1360765163421631
234,150,diverse by cluster,0.6077,1.1233733520507811
235,150,diverse by cluster,0.6221,1.1127180725097656
236,150,diverse by cluster,0.5957,1.2018179073333741
237,150,diverse by cluster,0.5849,1.1706645305633545
238,150,diverse by cluster,0.6202,1.1034588642120362
239,150,diverse by cluster,0.613,1.123824162387848
240,100,diverse by cluster,0.5692,1.2072632675170898
241,100,diverse by cluster,0.5698,1.218032386779785
242,100,diverse by cluster,0.5831,1.3127930393218994
243,100,diverse by cluster,0.5375,1.3368039178848266
244,100,diverse by cluster,0.5196,1.380196395111084
245,100,diverse by cluster,0.54,1.2589561849594115
246,100,diverse by cluster,0.5535,1.2958227954864503
247,100,diverse by cluster,0.586,1.237445814704895
248,100,diverse by cluster,0.5851,1.2277790023803712
249,100,diverse by cluster,0.4888,1.5576992937088012
250,80,diverse by cluster,0.5389,1.303831943321228
251,80,diverse by cluster,0.5056,1.4243210781097413
252,80,diverse by cluster,0.5025,1.4027562768936157
253,80,diverse by cluster,0.5331,1.3288095762252807
254,80,diverse by cluster,0.4662,1.497429588317871
255,80,diverse by cluster,0.5263,1.3552816373825074
256,80,diverse by cluster,0.5595,1.2554326456069946
257,80,diverse by cluster,0.5775,1.2884665735244751
258,80,diverse by cluster,0.5881,1.202291360282898
259,80,diverse by cluster,0.5109,1.3625294549942017
260,60,diverse by cluster,0.4594,1.4701315128326415
261,60,diverse by cluster,0.5051,1.4418786241531372
262,60,diverse by cluster,0.427,1.6424023662567138
263,60,diverse by cluster,0.4582,1.5197193990707398
264,60,diverse by cluster,0.4931,1.4631482776641846
265,60,diverse by cluster,0.5344,1.3758627153396605
266,60,diverse by cluster,0.349,1.8474284996032715
267,60,diverse by cluster,0.4695,1.4650085088729858
268,60,diverse by cluster,0.5119,1.4358662183761597
269,60,diverse by cluster,0.5435,1.382395170021057
270,40,diverse by cluster,0.4361,1.6085126583099365
271,40,diverse by cluster,0.485,1.5134169675827027
272,40,diverse by cluster,0.4065,1.6898028675079346
273,40,diverse by cluster,0.4459,1.554071762084961
274,40,diverse by cluster,0.4301,1.6345571994781494
275,40,diverse by cluster,0.4259,1.6466574577331543
276,40,diverse by cluster,0.4595,1.5186217166900635
277,40,diverse by cluster,0.448,1.6214678749084472
278,40,diverse by cluster,0.3246,1.9809936561584474
279,40,diverse by cluster,0.4644,1.5651405092239379
280,20,diverse by cluster,0.3131,1.9526774536132812
281,20,diverse by cluster,0.3132,2.036273931884766
282,20,diverse by cluster,0.3043,1.9528649097442627
283,20,diverse by cluster,0.3022,1.958060724258423
284,20,diverse by cluster,0.3053,1.9857494827270508
285,20,diverse by cluster,0.3455,1.841268603515625
286,20,diverse by cluster,0.3365,1.870537926673889
287,20,diverse by cluster,0.2972,2.0222231212615966
288,20,diverse by cluster,0.3096,1.9146106105804443
289,20,diverse by cluster,0.3175,1.9135924774169921
290,10,diverse by cluster,0.2378,2.096866437149048
291,10,diverse by cluster,0.2739,2.03365839881897
292,10,diverse by cluster,0.2524,2.065024458694458
293,10,diverse by cluster,0.188,2.158271616744995
294,10,diverse by cluster,0.2649,2.001606622695923
295,10,diverse by cluster,0.0955,2.308363158416748
296,10,diverse by cluster,0.2526,2.0626703090667724
297,10,diverse by cluster,0.2419,2.119505011367798
298,10,diverse by cluster,0.2605,2.096700234222412
299,10,diverse by cluster,0.285,2.0622554874420165
