,train_size,train_set_type,accuracy,loss
115,250,random by cluster,0.6476,1.0556693687438965
116,250,random by cluster,0.6446,1.1091403720855713
117,250,random by cluster,0.643,1.0159539402008058
118,250,random by cluster,0.6743,0.9563280340194702
119,250,random by cluster,0.6733,0.942156826877594
120,200,random by cluster,0.6568,1.1050514746665954
121,200,random by cluster,0.6605,0.992340567779541
122,200,random by cluster,0.6281,1.0606491718292237
123,200,random by cluster,0.6214,1.1352500926971436
124,200,random by cluster,0.6593,1.0252511806488036
125,200,random by cluster,0.641,1.0945160655021668
126,200,random by cluster,0.6598,1.0329328205108643
127,200,random by cluster,0.6329,1.0511170520782471
128,200,random by cluster,0.6539,1.03079629278183
129,200,random by cluster,0.6691,0.9948736223220825
130,150,random by cluster,0.6226,1.1130915987014771
131,150,random by cluster,0.6398,1.1192837525367736
132,150,random by cluster,0.6187,1.1654127862930297
133,150,random by cluster,0.552,1.2658873474121093
134,150,random by cluster,0.568,1.2611686391830443
135,150,random by cluster,0.6464,1.0695539700508119
136,150,random by cluster,0.619,1.1356389364242554
137,150,random by cluster,0.6032,1.127609390640259
138,150,random by cluster,0.6507,1.1254757394790649
139,150,random by cluster,0.6332,1.0314085704803466
140,100,random by cluster,0.5674,1.249074224281311
141,100,random by cluster,0.5283,1.315793539428711
142,100,random by cluster,0.5192,1.3782135341644288
143,100,random by cluster,0.5322,1.3397337253570556
144,100,random by cluster,0.5677,1.249962769317627
145,100,random by cluster,0.5682,1.2631170860290528
146,100,random by cluster,0.5764,1.1913442220687867
147,100,random by cluster,0.5771,1.2168633697509765
148,100,random by cluster,0.543,1.269026742553711
149,100,random by cluster,0.5597,1.226387248802185
150,80,random by cluster,0.5688,1.2853063022613525
151,80,random by cluster,0.5494,1.3007572854995728
152,80,random by cluster,0.5581,1.2625903341293334
153,80,random by cluster,0.4909,1.4142008029937745
154,80,random by cluster,0.5469,1.2963511489868165
155,80,random by cluster,0.5773,1.2181267625808716
156,80,random by cluster,0.6015,1.2547142288208009
157,80,random by cluster,0.5669,1.2447380159378052
158,80,random by cluster,0.5403,1.2714564344406127
159,80,random by cluster,0.5282,1.3140251932144165
160,60,random by cluster,0.5223,1.4428349067687989
161,60,random by cluster,0.5105,1.489015016555786
162,60,random by cluster,0.4873,1.44896070022583
163,60,random by cluster,0.5033,1.411984659576416
164,60,random by cluster,0.5142,1.3867988748550415
165,60,random by cluster,0.5326,1.46077901802063
166,60,random by cluster,0.5264,1.3446245429992676
167,60,random by cluster,0.5074,1.3854354511260987
168,60,random by cluster,0.5572,1.2602812534332275
169,60,random by cluster,0.4927,1.4227146505355834
170,40,random by cluster,0.4089,1.643261262512207
171,40,random by cluster,0.3517,1.8426523468017577
172,40,random by cluster,0.4345,1.5834025318145752
173,40,random by cluster,0.3909,1.6704970149993896
174,40,random by cluster,0.4286,1.609209167289734
175,40,random by cluster,0.4159,1.6361738918304443
176,40,random by cluster,0.4096,1.702863677215576
177,40,random by cluster,0.4405,1.597948768234253
178,40,random by cluster,0.4869,1.4546656925201416
179,40,random by cluster,0.3746,1.753426355934143
180,20,random by cluster,0.3306,1.8545542554855348
181,20,random by cluster,0.3487,1.7767867721557618
182,20,random by cluster,0.3384,1.8258957038879395
183,20,random by cluster,0.3892,1.7662369514465333
184,20,random by cluster,0.3717,1.7809354961395263
185,20,random by cluster,0.346,1.9465314270019531
186,20,random by cluster,0.3367,1.930968924331665
187,20,random by cluster,0.3367,1.8098819316864014
188,20,random by cluster,0.353,1.8530875801086426
189,20,random by cluster,0.3322,1.8453932159423827
190,10,random by cluster,0.2964,1.9650417999267578
191,10,random by cluster,0.307,1.9851903602600098
192,10,random by cluster,0.2864,2.0751790843963622
193,10,random by cluster,0.2906,1.981698250579834
194,10,random by cluster,0.2603,2.0932193153381347
195,10,random by cluster,0.2656,2.039154807662964
196,10,random by cluster,0.279,1.954468168258667
197,10,random by cluster,0.2674,2.00537795753479
198,10,random by cluster,0.3187,2.002710102081299
199,10,random by cluster,0.3408,1.8801566387176514
200,500,diverse by cluster,0.7281,0.8492139392852783
201,500,diverse by cluster,0.7003,0.8761142687797546
202,500,diverse by cluster,0.7069,0.8475610924720764
203,500,diverse by cluster,0.6972,0.8627562370300293
204,500,diverse by cluster,0.6994,0.8701430219650269
205,500,diverse by cluster,0.6841,0.883714465045929
206,500,diverse by cluster,0.737,0.7818342105865479
207,500,diverse by cluster,0.6457,1.0157365789413453
208,500,diverse by cluster,0.708,0.8534969735145569
209,500,diverse by cluster,0.6981,0.8608734651565552
210,250,diverse by cluster,0.6647,0.9719097285270691
211,250,diverse by cluster,0.5411,1.394832542037964
212,250,diverse by cluster,0.648,1.0091647044181824
213,250,diverse by cluster,0.6228,1.1141160787582398
214,250,diverse by cluster,0.6258,1.074985234260559
215,250,diverse by cluster,0.6423,1.058603294658661
216,250,diverse by cluster,0.6502,0.9885101984024048
217,250,diverse by cluster,0.6664,0.9834213571548462
218,250,diverse by cluster,0.675,0.945239234161377
219,250,diverse by cluster,0.6672,0.9753509704589843
220,200,diverse by cluster,0.6299,1.0316808313369752
221,200,diverse by cluster,0.6147,1.0986730312347412
222,200,diverse by cluster,0.6208,1.0649837648391725
223,200,diverse by cluster,0.5959,1.1478315626144409
224,200,diverse by cluster,0.637,1.0480072874069213
225,200,diverse by cluster,0.6643,0.9893603816986084
226,200,diverse by cluster,0.6248,1.0726394159317016
227,200,diverse by cluster,0.6351,1.0496711757659911
228,200,diverse by cluster,0.6309,1.03656705493927
229,200,diverse by cluster,0.6554,1.0061768010139465
230,150,diverse by cluster,0.5703,1.195606511116028
231,150,diverse by cluster,0.586,1.1428526557922363
232,150,diverse by cluster,0.5728,1.2097486101150512
233,150,diverse by cluster,0.5865,1.1796484870910644
234,150,diverse by cluster,0.5567,1.2889813592910766
235,150,diverse by cluster,0.5303,1.331816714477539
236,150,diverse by cluster,0.5658,1.2328621109008788
237,150,diverse by cluster,0.5857,1.1615306238174439
238,150,diverse by cluster,0.5796,1.187848631477356
239,150,diverse by cluster,0.5243,1.3211734558105468
240,100,diverse by cluster,0.5458,1.2760407455444336
241,100,diverse by cluster,0.5735,1.2203504537582397
242,100,diverse by cluster,0.4503,1.6323537656784057
243,100,diverse by cluster,0.4512,1.4830386795043946
244,100,diverse by cluster,0.5343,1.3611045877456664
245,100,diverse by cluster,0.5867,1.1544573076248168
246,100,diverse by cluster,0.5077,1.346281449317932
247,100,diverse by cluster,0.5776,1.1961992862701416
248,100,diverse by cluster,0.5684,1.1980484434127807
249,100,diverse by cluster,0.5471,1.3700879041671752
250,80,diverse by cluster,0.5149,1.3527189840316773
251,80,diverse by cluster,0.4622,1.5158755096435548
252,80,diverse by cluster,0.5574,1.242660910987854
253,80,diverse by cluster,0.4499,1.5259585062026977
